Simulation started at 0 with time steps from 0 to 10.
Initial probability density range: vmin=4.810183784379681e-86, vmax=0.6355882989985056.
Step 256, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9872, 1.7270)
Step 257, Time = 0.26, ProbDensSum = 1.0000, Center = (-1.9973, 1.7140)
Step 258, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0073, 1.7010)
Step 259, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0172, 1.6879)
Step 260, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0271, 1.6748)
Snapshot saved for time step 260.
Step 261, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0368, 1.6616)
Step 262, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0464, 1.6484)
Step 263, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0560, 1.6351)
Step 264, Time = 0.26, ProbDensSum = 1.0000, Center = (-2.0654, 1.6217)
Step 265, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0748, 1.6083)
Step 266, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0840, 1.5949)
Step 267, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.0932, 1.5813)
Step 268, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1023, 1.5678)
Step 269, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1112, 1.5541)
Step 270, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1201, 1.5405)
Snapshot saved for time step 270.
Step 271, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1289, 1.5267)
Step 272, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1376, 1.5129)
Step 273, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1462, 1.4991)
Step 274, Time = 0.27, ProbDensSum = 1.0000, Center = (-2.1547, 1.4852)
Step 275, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1631, 1.4713)
Step 276, Time = 0.28, ProbDensSum = 1.0000, Center = (-2.1714, 1.4573)
